1、	筒、亭、后、挽
2、	搜、敬、疮、游
3、	觉得、争论、谬误、昂然
4、	大学生、别针儿、加塞儿
5、	安居乐业、情不自禁、桀骜不驯
6、	青青园中葵，朝露待日夕
7、	春花秋月何时了，往事知多少
8、	八仙过海，各显神通
9、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
10、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
11、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
12、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
13、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
14、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
15、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
16、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
17、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
18、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
19、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
20、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
21、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
22、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
23、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
24、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
25、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
26、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
27、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
28、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
29、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
30、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
31、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
32、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
33、	筒、亭、后、挽
34、	搜、敬、疮、游
35、	觉得、争论、谬误、昂然
36、	大学生、别针儿、加塞儿
37、	安居乐业、情不自禁、桀骜不驯
38、	青青园中葵，朝露待日夕
39、	春花秋月何时了，往事知多少
40、	八仙过海，各显神通
41、	由此可见，影响一个人快乐的，有时并不是困境及磨难，而是一个人的心态。
42、	最后，当这一切红光都消失了的时候，那突然显得高而远了的天空，则呈现出一片肃穆的神色。
43、	最早出现的启明星，在这蓝色的天幕上闪烁起来了。它是那么大，那么亮，整个广漠的天幕上只有它在那里放射着令人注目的光辉，活像一盏悬挂在高空的明灯。  尤其是围绕在海港周围山坡上的那一片灯光，从半空倒映在乌蓝的海面上，随着波浪，晃动着，闪烁着，像一串流动着的珍珠，和那一片片密布在苍穹里的星斗互相辉映，煞是好看。  在这幽美的夜色中，我踏着软绵绵的沙滩，沿着海边，慢慢地向前走去。海水，轻轻地抚摸着细软的沙滩，发出温柔的刷刷声。晚来的海风，清新而又凉爽。
44、	纽约的——冬天常有……大风雪，……………………………………………………扑《及》面的？雪花不但令人难以睁开眼睛，而且连呼吸都会吸入冰冷的雪花。有时前一天晚上还很晴朗，第二天早上已经积雪盈尺，连门都推不开了。　　遇到这样的情况，公司、商店常会停止上班，学校也会通过广播宣布停课。可是，众人不解的是，唯有公立小学，即使那雪积得难以举步，也仍然开放。犯得着在大人都无需上班的时候让孩子去学校吗？
