1、	轻而易举、吹奏典雅、装模做样
2、	夜色加浓，苍空中的“明灯”越来越多了，而城市各处的真的灯火也次第亮了起来。
3、	莫高窟不仅有精妙绝伦的彩塑，还有四万五千多平方米宏伟瑰丽的壁画。壁画的内容丰富多彩，有记录佛教故事的，有描绘神佛形象的，有反映民间生活的，还有描摹自然风光的。其中最引人注目的，是那成百上千的飞天。壁画上的飞天，有的臂挎花篮，采摘鲜花；有的怀抱琵琶，轻拨银弦；有的倒悬身子，自天而降；有的彩带飘浮，漫天遨游；有的舒展双臂，翩翩起舞……看着这些精美的壁画，就像是走进了灿烂辉煌的艺术殿堂。　莫高窟是举世闻名的艺术宝库，这里的每一尊彩塑、每一幅壁画，都是我国古代劳动人民智慧的结晶。
4、	仇人相见，分外眼红
5、	老鼠过街，人人喊打
6、	因为它是活动的，每当一排排波浪涌起的时候，那映照在浪峰上的霞光，又红又亮，简直就像一片片霍霍燃烧着的火焰，闪烁着，消失了。
7、	我们在漆黑如墨的河上又划了很久。一个个峡谷和悬崖，迎面驶来，又向后移去，仿佛消失在茫茫的远方，而火光却依然停在前头，闪闪发亮，令人神往——依然是这么近，又依然是那么远…… 现在，无论是这条被悬崖峭壁的阴影笼罩的漆黑的河流，还是那一星明亮的火光，都经常浮现在我的脑际。在这以前和在这以后，曾有许多火光，似乎近在咫尺，不止使我一人心驰神往。可是生活之河却仍然在那阴森森的两岸之间流着，而火光也依旧非常遥远。因此，必须加劲划桨……  
8、	刀刃儿、猫头鹰、酒盅儿
9、	整个、角色、土豆、下跌
10、	应怜屐齿印苍苔，小扣柴扉久不开
11、	春眠不觉晓、处处闻啼鸟
12、	夕阳落山不久，西方的天空，还燃烧着一片橘红色的晚霞。大海，也被这霞光染成了红色，而且比天空的景色更要壮观。
13、	嘟囔、刚才、军阀、票据
14、	颇、乖、仲、君
15、	而后面的一排，又闪烁着，滚动着，涌了过来。  天空的霞光渐渐地淡下去了，深红的颜色变成了绯红，绯红又变为浅红。
16、	十五个吊桶打水，七上八下
17、	在繁华的巴黎大街的路旁，站着一个衣衫褴褛、头发斑白、双目失明的老人。
18、	叶子、她们、佛像、撒谎
19、	春风得意马蹄疾，一日看尽长安花
20、	白毛浮绿水、红掌拨清波
21、	明月松间照、清泉石上流
22、	蒜瓣儿、扇面儿、门口儿
23、	人活在这个世上，就离不开衣食住行。
24、	栩栩如生、轻描淡写、自以为是
